address,size_bytes,size_hex,symbol_name,raw_name,binding,source_file,reference_file,object_id,object_source,classification,status,attempts,best_score,commit,notes_file
0x003DE268,960,0x3C0,_sceFs_Rcv_Intr,_sceFs_Rcv_Intr,local,filestub.c,,external/filestub_1607,filestub.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DE268__sceFs_Rcv_Intr.md
0x00395750,972,0x3CC,inflate_fast,inflate_fast,global,C:/ks/src/zlib/inffast.c,KS/SRC/zlib/inffast.c,third_party/zlib/inffast,C:/ks/src/zlib/inffast.c,excluded_third_party,excluded_third_party,0,,,notes/functions/00395750_inflate_fast.md
0x003DA4D8,984,0x3D8,__sfvwrite,__sfvwrite,global,../../../../../src/newlib/libc/stdio/fvwrite.c,,external/fvwrite_1585,../../../../../src/newlib/libc/stdio/fvwrite.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DA4D8___sfvwrite.md
0x003C87A0,992,0x3E0,__ieee754_rem_pio2f,__ieee754_rem_pio2f,global,../../../../../src/newlib/libm/math/ef_rem_pio2.c,,external/ef_rem_pio2_1484,../../../../../src/newlib/libm/math/ef_rem_pio2.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C87A0___ieee754_rem_pio2f.md
0x003C7170,1008,0x3F0,__ieee754_fmod,__ieee754_fmod,global,../../../../../src/newlib/libm/math/e_fmod.c,,external/e_fmod_1478,../../../../../src/newlib/libm/math/e_fmod.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C7170___ieee754_fmod.md
0x003C0AE8,1052,0x41C,_getRef0,_getRef0,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C0AE8__getRef0.md
0x003C7568,1072,0x430,__ieee754_acosf,__ieee754_acosf,global,../../../../../src/newlib/libm/math/ef_acos.c,,external/ef_acos_1480,../../../../../src/newlib/libm/math/ef_acos.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C7568___ieee754_acosf.md
0x003D0220,1164,0x48C,fseek,fseek,global,../../../../../src/newlib/libc/stdio/fseek.c,,external/fseek_1529,../../../../../src/newlib/libc/stdio/fseek.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003D0220_fseek.md
0x003C2890,1192,0x4A8,_decMB0,_decMB0,local,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C2890__decMB0.md
0x003CE938,1224,0x4C8,__throw_type_match_rtti,__throw_type_match_rtti,global,../../src/gcc/cp/tinfo2.cc,,external/tinfo2_1512,../../src/gcc/cp/tinfo2.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CE938___throw_type_match_rtti.md
0x003C6B50,1288,0x508,powf,powf,global,../../../../../src/newlib/libm/math/wf_pow.c,,external/wf_pow_1476,../../../../../src/newlib/libm/math/wf_pow.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C6B50_powf.md
0x00392F78,1308,0x51C,inflate,inflate,global,C:/ks/src/zlib/inflate.c,KS/SRC/zlib/inflate.c,third_party/zlib/inflate,C:/ks/src/zlib/inflate.c,excluded_third_party,excluded_third_party,0,,,notes/functions/00392F78_inflate.md
0x003CB720,1344,0x540,__umoddi3,__umoddi3,global,../../src/gcc/libgcc2.c,,external/libgcc2_1506,../../src/gcc/libgcc2.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CB720___umoddi3.md
0x003DAE68,1392,0x570,_realloc_r,_realloc_r,global,../../../../../src/newlib/libc/stdlib/mallocr.c,,external/mallocr_1595,../../../../../src/newlib/libc/stdlib/mallocr.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DAE68__realloc_r.md
0x003BE7E8,1456,0x5B0,_PES_packet,_PES_packet,global,pack.c,,external/pack_1450,pack.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BE7E8__PES_packet.md
0x003B3DD8,1468,0x5BC,_IO_outfloat,_IO_outfloat,global,../../../src/libio/outfloat.c,,external/outfloat_1392,../../../src/libio/outfloat.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B3DD8__IO_outfloat.md
0x003DCAC8,1480,0x5C8,_printf,_printf,global,kprintf.c,,external/kprintf_1604,kprintf.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DCAC8__printf.md
0x003CB150,1488,0x5D0,__udivdi3,__udivdi3,global,../../src/gcc/libgcc2.c,,external/libgcc2_1505,../../src/gcc/libgcc2.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CB150___udivdi3.md
0x00394590,1528,0x5F8,huft_build,huft_build,local,C:/ks/src/zlib/inftrees.c,KS/SRC/zlib/inftrees.c,third_party/zlib/inftrees,C:/ks/src/zlib/inftrees.c,excluded_third_party,excluded_third_party,0,,,notes/functions/00394590_huft_build.md
0x003E0FF8,1640,0x668,__moddi3,__moddi3,global,../../src/gcc/libgcc2.c,,external/libgcc2_1623,../../src/gcc/libgcc2.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003E0FF8___moddi3.md
0x003BA5A8,1676,0x68C,sceGsExecStoreImage,sceGsExecStoreImage,global,graphdev.c,,external/graphdev_1413,graphdev.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BA5A8_sceGsExecStoreImage.md
0x003E0720,1772,0x6EC,__divdi3,__divdi3,global,../../src/gcc/libgcc2.c,,external/libgcc2_1619,../../src/gcc/libgcc2.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003E0720___divdi3.md
